Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,      Packaging and filling machine operators and tenders,False,Non skilled worker,Not Trade,Very Certain,OUT,,51-9111,Line item,373.2,390.5,17.3,4.6,0.3,42.4,38330,High school diploma or equivalent,,Moderate-term on-the-job training,      Packaging and filling machine operators and tenders,Packaging and Filling Machine Operators and Tenders,Similar Match,87.03703703703704,1046,51-9111,Packaging and Filling Machine Operators and Tenders
,"        Painting, coating, and decorating workers",False,Non skilled worker,Not Trade,Very Certain,OUT,,51-9123,Line item,13.5,13.5,0,0.1,10.1,1.2,40230,No formal educational credential,,Moderate-term on-the-job training,"        Painting, coating, and decorating workers","Painting, Coating, and Decorating Workers",Similar Match,88.04878048780488,1048,51-9123,"Painting, Coating, and Decorating Workers"
,        Recreational vehicle service technicians,True,Skilled Trade,Trade,Very Certain,IN,,49-3092,Line item,17.7,19.4,1.7,9.8,2,2.2,47950,High school diploma or equivalent,,Long-term on-the-job training,        Recreational vehicle service technicians,Recreational Vehicle Service Technicians,Similar Match,87.875,891,49-3092,Recreational Vehicle Service Technicians
,"      Metal furnace operators, tenders, pourers, and casters",False,,,,,,51-4050,Summary,25.9,23.7,-2.2,-8.4,—,2.2,50200,—,—,—,"      Metal furnace operators, tenders, pourers, and casters","Metal Furnace Operators, Tenders, Pourers, and Casters",Similar Match,86.2037037037037,960,51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
,      Elevator and escalator installers and repairers,True,Skilled Trade,Trade,Very Certain,IN,,47-4021,Line item,25.1,25.5,0.4,1.5,—,2.1,102420,High school diploma or equivalent,,Apprenticeship,      Elevator and escalator installers and repairers,Elevator and Escalator Installers and Repairers,Similar Match,88.3720930232558,831,47-4021,Elevator and Escalator Installers and Repairers
,        Power plant operators,True,Skilled Trade,Trade,Very Certain,IN,,51-8013,Line item,32.2,28.2,-4,-12.5,—,2.1,97010,High school diploma or equivalent,,Long-term on-the-job training,        Power plant operators,Power Plant Operators,Similar Match,85.95238095238095,1019,51-8013,Power Plant Operators
,"      Model makers and patternmakers, metal and plastic",False,,,,,,51-4060,Summary,5.7,4.5,-1.1,-19.9,—,0.3,58840,—,—,—,"      Model makers and patternmakers, metal and plastic","Model Makers and Patternmakers, Metal and Plastic",Similar Match,86.55555555555556,963,51-4060,"Model Makers and Patternmakers, Metal and Plastic"
,        Computer numerically controlled tool programmers,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9162,Line item,28.5,33,4.6,16,—,3.2,63440,Postsecondary nondegree award,,Moderate-term on-the-job training,        Computer numerically controlled tool programmers,Computer Numerically Controlled Tool Programmers,Similar Match,87.08333333333333,1054,51-9162,Computer Numerically Controlled Tool Programmers
,        Adhesive bonding machine operators and tenders,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9191,Line item,11.4,11.2,-0.3,-2.2,—,1,43540,High school diploma or equivalent,,Moderate-term on-the-job training,        Adhesive bonding machine operators and tenders,Adhesive Bonding Machine Operators and Tenders,Similar Match,86.7391304347826,1056,51-9191,Adhesive Bonding Machine Operators and Tenders
,"      Molders and molding machine setters, operators, and tenders, metal and plastic",False,,,,,,51-4070,Summary,179.4,170.5,-8.9,-5,0,14.6,39170,—,—,—,"      Molders and molding machine setters, operators, and tenders, metal and plastic","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",Similar Match,87.65432098765432,966,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
,"        Cleaning, washing, and metal pickling equipment operators and tenders",False,Non skilled worker,Not Trade,Somewhat Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9192,Line item,14,14.5,0.5,3.8,5.9,1.6,39340,High school diploma or equivalent,,Moderate-term on-the-job training,"        Cleaning, washing, and metal pickling equipment operators and tenders","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Similar Match,86.3013698630137,1057,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
,        Cooling and freezing equipment operators and tenders,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9193,Line item,7.1,7.4,0.4,5.1,5.6,0.8,42420,High school diploma or equivalent,,Moderate-term on-the-job training,        Cooling and freezing equipment operators and tenders,Cooling and Freezing Equipment Operators and Tenders,Similar Match,87.08333333333333,1058,51-9193,Cooling and Freezing Equipment Operators and Tenders
,        Etchers and engravers,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9194,Line item,8.5,8.4,0,-0.2,—,1.3,40040,High school diploma or equivalent,,Moderate-term on-the-job training,        Etchers and engravers,Etchers and Engravers,Similar Match,90.47619047619048,1059,51-9194,Etchers and Engravers
,"        Electrical and electronics repairers, powerhouse, substation, and relay",True,Skilled Trade,Trade,Very Certain,IN,,49-2095,Line item,26.1,25.4,-0.7,-2.7,0.5,2.1,96600,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,"        Electrical and electronics repairers, powerhouse, substation, and relay","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Similar Match,88.0,870,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
,"      Welding, soldering, and brazing workers",False,,,,,,51-4120,Summary,464.7,468.1,3.4,0.7,4,45.4,48680,—,—,—,"      Welding, soldering, and brazing workers","Welding, Soldering, and Brazing Workers",Similar Match,87.6923076923077,971,51-4120,"Welding, Soldering, and Brazing Workers"
,        Tire builders,False,Non skilled worker,Not Trade,Very Certain,OUT,I don't think training time is high enough for these but the work seems like trade work,51-9197,Line item,18.9,18.1,-0.8,-4.3,—,1.8,54080,High school diploma or equivalent,,Moderate-term on-the-job training,        Tire builders,Tire Builders,Similar Match,85.5,1062,51-9197,Tire Builders
,"        Production workers, all other",False,Other/TBD,Not Trade,High Uncertain,OUT,,51-9199,Line item,275.3,279.2,3.9,1.4,5.7,30.1,37430,High school diploma or equivalent,,Moderate-term on-the-job training,"        Production workers, all other",Production Occupations,Similar Match,85.5,924,51-0000,Production Occupations
,      Miscellaneous metal workers and plastic workers,False,,,,,,51-4190,Summary,83,75.5,-7.4,-8.9,0.7,6.9,43260,—,—,—,      Miscellaneous metal workers and plastic workers,Miscellaneous Metal Workers and Plastic Workers,Similar Match,87.6923076923077,974,51-4190,Miscellaneous Metal Workers and Plastic Workers
,"        Earth drillers, except oil and gas",True,Skilled Trade,Trade,Very Certain,IN,,47-5023,Line item,20.4,20.8,0.4,2.2,6.1,2.1,56660,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,"        Earth drillers, except oil and gas","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Flight attendants,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,Maybe broadly recognized enough to be a profession. Definitely not a skilled trade.,53-2031,Line item,111.1,123.8,12.6,11.4,—,16.6,68370,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,      Flight attendants,Flight Attendants,Similar Match,89.41176470588236,1077,53-2031,Flight Attendants
,"      Ambulance drivers and attendants, except emergency medical technicians",False,Non skilled worker,Not Trade,Very Certain,OUT,,53-3011,Line item,10.1,10.1,0,0.2,—,1.4,32580,High school diploma or equivalent,,Moderate-term on-the-job training,"      Ambulance drivers and attendants, except emergency medical technicians","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Similar Match,87.67123287671232,1079,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
,"        Bus drivers, transit and intercity",False,Non skilled worker,Not Trade,Very Certain,OUT,,53-3052,Line item,156.4,164.8,8.4,5.4,4.1,21.2,60170,High school diploma or equivalent,,Moderate-term on-the-job training,"        Bus drivers, transit and intercity","Bus Drivers, Transit and Intercity",Similar Match,86.61764705882352,1086,53-3052,"Bus Drivers, Transit and Intercity"
,"        Insulation workers, mechanical",True,Skilled Trade,Trade,Very Certain,IN,,47-2132,Line item,27.2,27.6,0.5,1.7,3.6,2.1,53920,High school diploma or equivalent,,Apprenticeship,"        Insulation workers, mechanical","Insulation Workers, Mechanical",Similar Match,88.66666666666666,808,47-2132,"Insulation Workers, Mechanical"
,    Printing workers,False,,,,,,51-5100,Summary,222.5,198.1,-24.4,-11,3.2,19.7,40870,—,—,—,    Printing workers,Printing Workers,Similar Match,89.0625,980,51-5110,Printing Workers
,        Air traffic controllers,False,,Trade,Somewhat Certain,IN,not sure if involves manual/mechanical/technical labor,53-2021,Line item,23,23.3,0.3,1.4,—,2,137380,Associate's degree,,Long-term on-the-job training,        Air traffic controllers,Air Traffic Controllers,Similar Match,86.73913043478261,1075,53-2021,Air Traffic Controllers
,        Riggers,False,Skilled Trade,Trade,Very Certain,IN,,49-9096,Line item,19.7,20,0.3,1.4,—,2,56220,High school diploma or equivalent,,Moderate-term on-the-job training,        Riggers,Riggers,Similar Match,90.0,920,49-9096,Riggers
,      Railroad conductors and yardmasters,False,Profession,Not Trade,Somewhat Certain,OUT,,53-4031,Line item,34.2,34.6,0.4,1.1,—,2.8,71130,High school diploma or equivalent,,Moderate-term on-the-job training,      Railroad conductors and yardmasters,Railroad Conductors and Yardmasters,Similar Match,89.57142857142857,1096,53-4031,Railroad Conductors and Yardmasters
,"    Textile, apparel, and furnishings workers",False,,,,,,51-6000,Summary,536.3,490.3,-46,-8.6,10.8,57.7,34110,—,—,—,"    Textile, apparel, and furnishings workers","Textile, Apparel, and Furnishings Workers",Similar Match,88.37209302325581,984,51-6000,"Textile, Apparel, and Furnishings Workers"
,      Laundry and dry-cleaning workers,False,,,,,,51-6011,Line item,184.4,182,-2.3,-1.3,1.9,24.5,31050,No formal educational credential,,Short-term on-the-job training,      Laundry and dry-cleaning workers,Laundry and Dry-Cleaning Workers,Similar Match,86.09375,985,51-6011,Laundry and Dry-Cleaning Workers
,"      Pressers, textile, garment, and related materials",False,,,,,,51-6021,Line item,29.8,23.3,-6.5,-21.8,1.8,2.7,32240,No formal educational credential,,Short-term on-the-job training,"      Pressers, textile, garment, and related materials","Pressers, Textile, Garment, and Related Materials",Similar Match,87.24489795918366,986,51-6021,"Pressers, Textile, Garment, and Related Materials"
,      Sewing machine operators,False,,,,,,51-6031,Line item,141.9,120.3,-21.6,-15.2,17,12.5,34440,No formal educational credential,,Short-term on-the-job training,      Sewing machine operators,Sewing Machine Operators,Similar Match,87.08333333333333,987,51-6031,Sewing Machine Operators
,      Shoe and leather workers,False,,,,,,51-6040,Summary,13.1,11.7,-1.4,-10.9,8,1.3,36300,—,—,—,      Shoe and leather workers,Shoe and Leather Workers,Similar Match,87.08333333333333,988,51-6040,Shoe and Leather Workers
,      Subway and streetcar operators,False,Non skilled worker,Not Trade,Very Certain,OUT,,53-4041,Line item,9.5,9.8,0.3,3.5,—,1,84270,High school diploma or equivalent,,Moderate-term on-the-job training,      Subway and streetcar operators,Subway and Streetcar Operators,Similar Match,88.66666666666666,1097,53-4041,Subway and Streetcar Operators
,        Shoe machine operators and tenders,False,,,,,,51-6042,Line item,3.3,2.9,-0.4,-10.9,8,0.3,36970,High school diploma or equivalent,,Short-term on-the-job training,        Shoe machine operators and tenders,Shoe Machine Operators and Tenders,Similar Match,86.61764705882352,990,51-6042,Shoe Machine Operators and Tenders
,"      Tailors, dressmakers, and sewers",False,,,,,,51-6050,Summary,40.9,35.1,-5.7,-14,49,4.6,35680,—,—,—,"      Tailors, dressmakers, and sewers","Tailors, Dressmakers, and Sewers",Similar Match,89.0625,991,51-6050,"Tailors, Dressmakers, and Sewers"
,      Plasterers and stucco masons,True,Skilled Trade,Trade,Very Certain,IN,,47-2161,Line item,27.3,27.9,0.6,2.1,5.4,2,52640,No formal educational credential,,Long-term on-the-job training,      Plasterers and stucco masons,Plasterers and Stucco Masons,Similar Match,88.21428571428571,815,47-2161,Plasterers and Stucco Masons
,        Medical appliance technicians,False,Skilled Trade,Trade,Somewhat Certain,IN,Not sure if technicians in general are skilled trades,51-9082,Line item,16.6,17.1,0.4,2.5,4.8,2,44960,High school diploma or equivalent,,Moderate-term on-the-job training,        Medical appliance technicians,Medical Appliance Technicians,Similar Match,88.44827586206895,1044,51-9082,Medical Appliance Technicians
,"      Textile machine setters, operators, and tenders",False,,,,,,51-6060,Summary,60.9,55,-5.9,-9.7,2,5.8,36150,—,—,—,"      Textile machine setters, operators, and tenders","Textile Machine Setters, Operators, and Tenders",Similar Match,86.91489361702128,994,51-6060,"Textile Machine Setters, Operators, and Tenders"
,        Textile bleaching and dyeing machine operators and tenders,False,,,,,,51-6061,Line item,7,6.4,-0.7,-9.5,2,0.7,35340,High school diploma or equivalent,,Short-term on-the-job training,        Textile bleaching and dyeing machine operators and tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,Similar Match,86.2037037037037,995,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
,        Avionics technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,,49-2091,Line item,20.8,21.7,0.9,4.3,—,1.9,77420,Associate's degree,,,        Avionics technicians,Avionics Technicians,Similar Match,90.25,866,49-2091,Avionics Technicians
,"        Textile knitting and weaving machine setters, operators, and tenders",False,,,,,,51-6063,Line item,17.8,15.9,-1.9,-10.5,2,1.7,37130,High school diploma or equivalent,,Short-term on-the-job training,"        Textile knitting and weaving machine setters, operators, and tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Similar Match,86.11111111111111,997,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
,      Reinforcing iron and rebar workers,True,Skilled Trade,Trade,Very Certain,IN,,47-2171,Line item,22.8,23.1,0.3,1.2,24.3,1.9,54850,High school diploma or equivalent,,Apprenticeship,      Reinforcing iron and rebar workers,Reinforcing Iron and Rebar Workers,Similar Match,86.61764705882352,816,47-2171,Reinforcing Iron and Rebar Workers
,"      Miscellaneous textile, apparel, and furnishings workers",False,,,,,,51-6090,Summary,65.4,62.8,-2.5,-3.9,11.3,6.3,40560,—,—,—,"      Miscellaneous textile, apparel, and furnishings workers","Miscellaneous Textile, Apparel, and Furnishings Workers",Similar Match,88.0909090909091,999,51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers"
,        Rail car repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3043,Line item,20.1,20.8,0.7,3.6,4.9,1.8,65030,High school diploma or equivalent,,Long-term on-the-job training,        Rail car repairers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Similar Match,85.5,1094,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
,      Wind turbine service technicians,True,Skilled Trade,Trade,Very Certain,IN,,49-9081,Line item,11.2,16.2,5,44.9,10.6,1.8,61770,Postsecondary nondegree award,,Long-term on-the-job training,      Wind turbine service technicians,Wind Turbine Service Technicians,Similar Match,86.09375,914,49-9081,Wind Turbine Service Technicians
,        Gas compressor and gas pumping station operators,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,Doesn't seem to meet the training time requirement,53-7071,Line item,3.9,3.8,-0.1,-2.1,—,0.4,61870,High school diploma or equivalent,,Moderate-term on-the-job training,        Gas compressor and gas pumping station operators,General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,"        Textile, apparel, and furnishings workers, all other",False,,,,,,51-6099,Line item,14.3,13.2,-1.1,-7.8,8.7,1.4,35130,High school diploma or equivalent,,Short-term on-the-job training,"        Textile, apparel, and furnishings workers, all other","Textile, Apparel, and Furnishings Workers, All Other",Similar Match,85.86538461538461,1003,51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
,    Woodworkers,False,,,,,,51-7000,Summary,253.9,250.7,-3.2,-1.3,8.2,25,39350,—,—,—,    Woodworkers,Woodworkers,Similar Match,95.0,1004,51-7000,Woodworkers
,"        Metal workers and plastic workers, all other",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-4199,Line item,21.4,19.8,-1.7,-7.8,0.7,1.8,41200,High school diploma or equivalent,,Moderate-term on-the-job training,"        Metal workers and plastic workers, all other",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,      Furniture finishers,False,,,,,,51-7021,Line item,19.2,19.1,-0.1,-0.7,21.8,2.2,39790,High school diploma or equivalent,,Short-term on-the-job training,      Furniture finishers,Furniture Finishers,Similar Match,89.99999999999999,1006,51-7021,Furniture Finishers
,"      Model makers and patternmakers, wood",False,,,,,,51-7030,Summary,1.6,1.5,-0.1,-4,31.4,0.2,48290,—,—,—,"      Model makers and patternmakers, wood","Model Makers and Patternmakers, Wood",Similar Match,87.08333333333333,1007,51-7030,"Model Makers and Patternmakers, Wood"
,        Locksmiths and safe repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9094,Line item,18.2,16.1,-2,-11.1,14.6,1.7,48380,High school diploma or equivalent,,Long-term on-the-job training,        Locksmiths and safe repairers,Locksmiths and Safe Repairers,Similar Match,88.44827586206895,918,49-9094,Locksmiths and Safe Repairers
,"        Claims adjusters, examiners, and investigators",False,,Not Trade,Somewhat Certain,OUT,,13-1031,Line item,329,318.7,-10.3,-3.1,1.2,20.6,75050,High school diploma or equivalent,,Long-term on-the-job training,"        Claims adjusters, examiners, and investigators","Claims Adjusters, Examiners, and Investigators",Similar Match,88.80434782608695,56,13-1031,"Claims Adjusters, Examiners, and Investigators"
,"      Woodworking machine setters, operators, and tenders",False,,,,,,51-7040,Summary,114,113.4,-0.6,-0.5,2.1,11.4,38140,—,—,—,"      Woodworking machine setters, operators, and tenders","Woodworking Machine Setters, Operators, and Tenders",Similar Match,87.54901960784314,1010,51-7040,"Woodworking Machine Setters, Operators, and Tenders"
,        Craft artists,False,,Not Trade,Somewhat Certain,OUT,,27-1012,Line item,11.5,12,0.4,3.9,59.1,1.1,36600,No formal educational credential,,Long-term on-the-job training,        Craft artists,Craft Artists,Similar Match,85.5,369,27-1012,Craft Artists
,"        Artists and related workers, all other",True,Profession,Not Trade,Very Certain,OUT,,27-1019,Line item,14,14.5,0.5,3.4,43.3,1.4,74750,No formal educational credential,,Long-term on-the-job training,"        Artists and related workers, all other","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,        Actors,True,Profession,Not Trade,Very Certain,OUT,,27-2011,Line item,78.1,80.6,2.5,3.2,26.3,9.3,—,"Some college, no degree",,Long-term on-the-job training,        Actors,Actors,Similar Match,90.0,384,27-2011,Actors
,    Plant and system operators,False,,,,,,51-8000,Summary,287.8,273,-14.8,-5.1,0.5,24.2,67100,—,—,—,    Plant and system operators,Plant and System Operators,Similar Match,87.6923076923077,1015,51-8000,Plant and System Operators
,"      Power plant operators, distributors, and dispatchers",False,,,,,,51-8010,Summary,47.3,42.6,-4.7,-10,—,3.2,100890,—,—,—,"      Power plant operators, distributors, and dispatchers","Power Plant Operators, Distributors, and Dispatchers",Similar Match,87.6923076923077,1016,51-8010,"Power Plant Operators, Distributors, and Dispatchers"
,        Athletes and sports competitors,False,,Not Trade,Somewhat Certain,OUT,,27-2021,Line item,14,15.2,1.3,9.1,7.8,1.9,70280,No formal educational credential,,Long-term on-the-job training,        Athletes and sports competitors,Athletes and Sports Competitors,Similar Match,88.87096774193547,387,27-2021,Athletes and Sports Competitors
,        Dancers,True,Profession,Not Trade,Very Certain,OUT,,27-2031,Line item,11.5,12.2,0.6,5.3,19.3,1.9,—,No formal educational credential,,Long-term on-the-job training,        Dancers,Dancers,Similar Match,90.0,391,27-2031,Dancers
,        Choreographers,True,Profession,Not Trade,Very Certain,OUT,,27-2032,Line item,6.9,7.3,0.3,5,19,1.1,52000,High school diploma or equivalent,5 years or more,Long-term on-the-job training,        Choreographers,Dancers and Choreographers,Similar Match,95.0,390,27-2030,Dancers and Choreographers
,        Musicians and singers,True,Profession,Not Trade,Very Certain,OUT,,27-2042,Line item,173.5,175.6,2.1,1.2,48.1,22.6,—,No formal educational credential,,Long-term on-the-job training,        Musicians and singers,Musicians and Singers,Similar Match,90.47619047619048,395,27-2042,Musicians and Singers
,"      Opticians, dispensing",False,,Not Trade,Somewhat Certain,OUT,,29-2081,Line item,73.3,75.2,2,2.7,0.5,6.4,44170,High school diploma or equivalent,,Long-term on-the-job training,"      Opticians, dispensing","Opticians, Dispensing",Similar Match,90.47619047619048,496,29-2081,"Opticians, Dispensing"
,      Miscellaneous plant and system operators,False,,,,,,51-8090,Summary,82.2,79.1,-3.1,-3.8,—,7,80710,—,—,—,      Miscellaneous plant and system operators,Miscellaneous Plant and System Operators,Similar Match,87.875,1022,51-8090,Miscellaneous Plant and System Operators
,      Firefighters,False,,Not Trade,Highly Uncertain,OUT,Not sure about public recognition of firefighters as a trade,33-2011,Line item,334.2,346.2,12,3.6,0.2,26.4,57120,Postsecondary nondegree award,,Long-term on-the-job training,      Firefighters,Firefighters,Similar Match,90.0,543,33-2011,Firefighters
,        Automotive glass installers and repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3022,Line item,21.9,22.2,0.4,1.7,19.4,1.7,45320,High school diploma or equivalent,,Moderate-term on-the-job training,        Automotive glass installers and repairers,Automotive Glass Installers and Repairers,Similar Match,88.04878048780488,878,49-3022,Automotive Glass Installers and Repairers
,        Bicycle repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3091,Line item,14.4,14.9,0.5,3.8,2,1.7,38320,High school diploma or equivalent,,Moderate-term on-the-job training,        Bicycle repairers,Bicycle Repairers,Similar Match,89.41176470588236,890,49-3091,Bicycle Repairers
,"      Court, municipal, and license clerks",False,,Not Trade,Somewhat Certain,OUT,This is similar to administrative/office work,43-4031,Line item,170.6,175.7,5.1,3,2.6,17.7,46110,High school diploma or equivalent,,Long-term on-the-job training,"      Court, municipal, and license clerks","Court, Municipal, and License Clerks",Similar Match,87.08333333333333,712,43-4031,"Court, Municipal, and License Clerks"
,    Other production occupations,False,,,,,,51-9000,Summary,2655.3,2603.9,-51.4,-1.9,3.1,282.1,43880,—,—,—,    Other production occupations,Other Production Occupations,Similar Match,88.21428571428571,1027,51-9000,Other Production Occupations
,"      Chemical processing machine setters, operators, and tenders",False,,,,,,51-9010,Summary,175.9,171.2,-4.6,-2.6,1.2,15.6,50300,—,—,—,"      Chemical processing machine setters, operators, and tenders","Chemical Processing Machine Setters, Operators, and Tenders",Similar Match,87.09677419354838,1028,51-9010,"Chemical Processing Machine Setters, Operators, and Tenders"
,        Wellhead pumpers,False,Skilled Trade,Trade,Very Certain,IN,,53-7073,Line item,16.2,15.9,-0.4,-2.2,0.4,1.6,71830,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,        Wellhead pumpers,"Pump Operators, Except Wellhead Pumpers",Similar Match,85.5,1131,53-7072,"Pump Operators, Except Wellhead Pumpers"
,        Paperhangers,False,,Not Trade,Highly Uncertain,OUT,"qualifies for all other criteria for trade, but not sure if skilled enough",47-2142,Line item,3.9,4,0.1,3.7,42.2,0.3,48460,No formal educational credential,,Long-term on-the-job training,        Paperhangers,Painters and Paperhangers,Similar Match,95.0,809,47-2140,Painters and Paperhangers
,"      Crushing, grinding, polishing, mixing, and blending workers",False,,,,,,51-9020,Summary,157.3,155.2,-2.1,-1.3,1.5,15.7,45460,—,—,—,"      Crushing, grinding, polishing, mixing, and blending workers","Crushing, Grinding, Polishing, Mixing, and Blending Workers",Similar Match,87.09677419354838,1031,51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
,"      Woodworkers, all other",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-7099,Line item,13.5,13,-0.5,-3.6,31.4,1.5,37760,High school diploma or equivalent,,Moderate-term on-the-job training,"      Woodworkers, all other",Woodworkers,Similar Match,90.0,1004,51-7000,Woodworkers
,        Continuous mining machine operators,False,Skilled Trade,Trade,Somewhat Certain,IN,1-12 month training,47-5041,Line item,13.9,13.5,-0.4,-3.2,0.6,1.4,61420,No formal educational credential,,Moderate-term on-the-job training,        Continuous mining machine operators,Continuous Mining Machine Operators,Similar Match,86.85714285714286,848,47-5041,Continuous Mining Machine Operators
,"        Radio, cellular, and tower equipment installers and repairers",True,Skilled Trade,Trade,Very Certain,IN,,49-2021,Line item,13.5,13.9,0.5,3.4,2,1.4,61310,Associate's degree,,Moderate-term on-the-job training,"        Radio, cellular, and tower equipment installers and repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",Similar Match,86.66666666666667,863,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
,      Cutting workers,False,,,,,,51-9030,Summary,64,59.4,-4.6,-7.2,1.1,6.1,43300,—,—,—,      Cutting workers,Cutting Workers,Similar Match,88.66666666666666,1035,51-9030,Cutting Workers
,"        Cutters and trimmers, hand",False,,,,,,51-9031,Line item,8.3,5.9,-2.3,-28.2,1.1,0.5,37040,No formal educational credential,,Short-term on-the-job training,"        Cutters and trimmers, hand","Cutters and Trimmers, Hand",Similar Match,87.6923076923077,1036,51-9031,"Cutters and Trimmers, Hand"
,        Airfield operations specialists,False,,Trade,Somewhat Certain,IN,not sure if involves manual/mechanical/technical labor,53-2022,Line item,15,15.8,0.7,4.9,—,1.4,51140,High school diploma or equivalent,,Long-term on-the-job training,        Airfield operations specialists,Airfield Operations Specialists,Similar Match,88.87096774193549,1076,53-2022,Airfield Operations Specialists
,        Electro-mechanical and mechatronics technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3024,Line item,15.2,14.8,-0.4,-2.7,1.7,1.3,65080,Associate's degree,,,        Electro-mechanical and mechatronics technologists and technicians,Electro-Mechanical and Mechatronics Technologists and Technicians,Similar Match,88.77049180327869,164,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
,"        Rotary drill operators, oil and gas",True,Skilled Trade,Trade,Very Certain,IN,,47-5012,Line item,13.2,13.2,0,0.1,2.2,1.3,61770,No formal educational credential,,Moderate-term on-the-job training,"        Rotary drill operators, oil and gas","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,"        Drafters, all other",True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3019,Line item,18.7,17.3,-1.5,-7.8,2.9,1.3,59260,Associate's degree,,,"        Drafters, all other",Drafters,Similar Match,90.0,155,17-3010,Drafters
,        Surgical assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,,29-9093,Line item,19.7,20.7,1,5.2,4.2,1.3,59160,Postsecondary nondegree award,,,        Surgical assistants,Surgical Assistants,Similar Match,89.99999999999999,506,29-9093,Surgical Assistants
,      Dental and ophthalmic laboratory technicians and medical appliance technicians,False,,,,,,51-9080,Summary,73.4,72.4,-1,-1.3,4.8,8.3,44640,—,—,—,      Dental and ophthalmic laboratory technicians and medical appliance technicians,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,Similar Match,88.88888888888889,1042,51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
